forecast_id,hospital_id,blood_type,total_donated,total_required,deficit,forecast_date,shortage_flag,Fulfillment_Rate,Urgency_Level,coverage_ratio,demand_pressure,risk_score,efficiency_score,scarcity_index,predicted_deficit,urgency_prob,final_risk,final_status
21226,10101,A+,670.15,1031,360.85,2026-05-11,1,0.65,Moderate Shortage,0.649999999369544,360.85,0.34999999966052375,1.8571428519962785,0.34999999966052375,360.84827,0.997771,0.4786991590890224,🔴 Critical
21227,10102,A+,589.55,907,317.45000000000005,2026-05-14,1,0.6499999999999999,Moderate Shortage,0.6499999992833516,317.45000000000005,0.3499999996141125,1.8571428512926667,0.3499999996141125,317.35736,0.997771,0.4786489306945677,🔴 Critical
21234,10109,A+,572.0,880,308.0,2026-05-13,1,0.65,Moderate Shortage,0.6499999992613636,308.0,0.34999999960227274,1.8571428511131727,0.34999999960227274,307.99957,0.997771,0.4786997569283561,🔴 Critical
21235,10110,A+,75.0,100,25.0,2026-05-14,0,0.75,Moderate Shortage,0.7499999925,25.0,0.24999999750000004,2.9999998800000047,0.24999999750000004,25.000004,0.997771,0.39850001707348615,🟡 Warning
21236,10111,A+,95.0,100,5.0,2026-05-20,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21237,10112,A+,95.0,100,5.0,2026-05-20,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21244,10119,A+,95.0,100,5.0,2026-05-19,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21245,10120,A+,95.0,100,5.0,2026-05-19,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21246,10121,A+,85.0,100,15.0,2026-05-17,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21247,10122,A+,75.0,100,25.0,2026-05-12,0,0.75,Moderate Shortage,0.7499999925,25.0,0.24999999750000004,2.9999998800000047,0.24999999750000004,25.000004,0.997771,0.39850001707348615,🟡 Warning
21254,10129,A+,75.0,100,25.0,2026-05-12,0,0.75,Moderate Shortage,0.7499999925,25.0,0.24999999750000004,2.9999998800000047,0.24999999750000004,25.000004,0.997771,0.39850001707348615,🟡 Warning
21255,10130,A+,85.0,100,15.0,2026-05-17,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21256,10131,A+,85.0,100,15.0,2026-05-18,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21257,10132,A+,85.0,100,15.0,2026-05-19,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21264,10139,A+,85.0,100,15.0,2026-05-21,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21265,10140,A+,75.0,100,25.0,2026-05-11,0,0.75,Moderate Shortage,0.7499999925,25.0,0.24999999750000004,2.9999998800000047,0.24999999750000004,25.000004,0.997771,0.39850001707348615,🟡 Warning
21266,10141,A+,615.55,947,331.45000000000005,2026-05-12,1,0.6499999999999999,Moderate Shortage,0.649999999313622,331.45000000000005,0.3499999996304119,1.8571428515397708,0.3499999996304119,331.46002,0.997771,0.4787052911365606,🔴 Critical
21267,10142,A+,85.0,100,15.0,2026-05-21,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21274,10149,A+,85.0,100,15.0,2026-05-16,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21275,10150,A+,683.15,1051,367.85,2026-05-12,1,0.65,Moderate Shortage,0.6499999993815413,367.85,0.3499999996669838,1.8571428520942153,0.3499999996669838,367.83267,0.997771,0.4786917562127293,🔴 Critical
21276,10151,A+,95.0,100,5.0,2026-05-23,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21277,10152,A+,85.0,100,15.0,2026-05-16,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21284,10159,A+,95.0,100,5.0,2026-05-22,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21285,10160,A+,95.0,100,5.0,2026-05-24,0,0.95,Safe,0.9499999905000002,5.0,0.0499999995,18.99999620000076,0.0499999995,5.0001254,0.9984309,0.2381006266408568,🟢 Stable
21286,10161,A+,75.0,100,25.0,2026-05-14,0,0.75,Moderate Shortage,0.7499999925,25.0,0.24999999750000004,2.9999998800000047,0.24999999750000004,25.000004,0.997771,0.39850001707348615,🟡 Warning
21287,10162,A+,85.0,100,15.0,2026-05-16,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
21294,10169,A+,85.0,100,15.0,2026-05-18,0,0.85,Safe,0.8499999915,15.0,0.1499999985,5.666666288888915,0.1499999985,15.000062,0.9984309,0.3183003087441498,🟢 Stable
