ds,yhat,yhat_lower,yhat_upper
2026-05-11,42514.3510516,27476.083456326258,57661.727543721674
2026-05-12,38974.89681784769,24148.40927024424,52790.81035591726
2026-05-13,35435.44258456568,20439.05107213342,50265.42381773976
2026-05-14,31895.988351438606,17629.844702648523,46630.2648027917
2026-05-15,28356.534118071646,13465.550529213351,42856.256621428525
2026-05-16,24817.079884174505,9524.073337412181,38761.66501453918
2026-05-17,21277.625650108195,6209.368963320473,36301.5685749642
2026-05-18,17738.17141485636,3412.6214623794913,32599.635436744265
2026-05-19,14198.717178748087,65.47337029054403,29727.1776190411
2026-05-20,10659.262942734007,-4486.0540547232695,24681.90601880211
2026-05-21,7119.808705321149,-7750.03103736236,21764.195058004716
2026-05-22,3580.3544668666295,-11593.528796051549,18718.729477153254
2026-05-23,40.900228412109534,-14798.278858629785,14523.726956376368
2026-05-24,-3498.5540100424046,-19470.887840716623,11222.995133672546
2026-05-25,-7038.008248496919,-22071.53933630775,7222.521100946073
2026-05-26,-10577.46248695144,-24937.007625225688,3793.04539134495
2026-05-27,-14116.916725405965,-28040.9008243583,67.27182670272343
2026-05-28,-17656.370963860474,-31917.575425885203,-3219.459539010286
2026-05-29,-21195.825202314994,-35871.264889517326,-7466.350993528429
2026-05-30,-24735.279440769515,-39521.72509948234,-9458.798352199665
2026-05-31,-28274.73367922403,-41743.041465117676,-13275.457651760122
